year,Avg.Inflation
1960,1.7
1961,1
1962,1
1963,1.3
1964,1.3
1965,1.6
1966,2.9
1967,3.1
1968,4.2
1969,5.5
1970,5.7
1971,4.4
1972,3.2
1973,6.2
1974,11
1975,9.1
1976,5.8
1977,6.5
1978,7.6
1979,11.3
1980,13.5
1981,10.3
1982,6.2
1983,3.2
1984,4.3
1985,3.6
1986,1.9
1987,3.6
1988,4.1
1989,4.8
1990,5.4
1991,4.2
1992,3
1993,3
1994,2.6
1995,2.8
1996,3
1997,2.3
1998,1.6
1999,2.2
2000,3.4
2001,2.8
2002,1.6
2003,2.3
2004,2.7
2005,3.4
2006,3.2
2007,2.8
2008,3.8
2009,-0.4
2010,1.6
2011,3.2
2012,2.1
2013,1.5
2014,1.6
2015,0.1
2016,1.3
2017,2.1
